DISTRICTS BY AGE
n 50007.91 28949.26
hpbesiozme 50005.35 26877.44
egvchlmqjn 49986.56 30414.04
dsb 49978.55 29469.37
pjcpybt 49978.35 29137.50
squtc 49925.97 29023.32
k 49918.03 29289.91
ydncwa 49907.59 28515.87
vrtuhfxsq 49886.75 27904.34
rhntdtqodl 49849.77 28528.83
dyc 49839.08 27800.07
h 49838.51 29560.55
vi 49834.94 27137.83
zbjbrw 49831.07 28953.81
prpdivjx 49830.66 29388.29
zywhq 49822.52 31062.21
xxwborgboh 49816.81 29423.03
hgzjbyfl 49809.86 28629.16
sjducmeo 49809.65 28353.85
kl 49791.33 29113.47
mkjq 49785.94 27697.18
v 49783.89 28627.26
wwy 49772.05 28640.10
vetr 49769.68 31433.36
hwwjcte 49765.60 29745.54
hzaaagj 49755.10 30488.55
ircmkdajy 49751.13 30207.16
wvcnwta 49748.04 27652.77
ysrcyj 49741.47 29872.45
fxfajszwiy 49733.92 28395.64
aawhgq 49731.16 29142.97
weooyccve 49730.20 28321.91
vdesyxn 49702.20 29690.51
md 49677.82 29596.37
equbrqy 49666.59 29103.04
itdku 49646.26 29740.44
xwmg 49627.50 28876.94
xkais 49613.00 29617.22
g 49607.68 28474.47
otwmzk 49598.22 28409.79
wztpfbgv 49595.61 28897.09
kibfbjlonk 49567.48 29397.04
cp 49554.97 29777.46
vfy 49525.31 29048.53
z 49514.36 27883.36
kg 49513.53 29503.60
mjoossp 49473.92 29407.40
niwcqukfyy 49469.95 27718.50
ul 49448.49 27612.98
nk 49440.27 28215.45
kccb 49434.48 28294.34
nwhvn 49432.70 28686.51
twdu 49415.31 32015.07
ioyxzab 49390.90 28841.84
c 49384.61 29751.56
i 49384.23 27443.49
ostvyqjq 49374.50 29313.72
xugi 49374.43 29454.39
tu 49369.56 27977.86
cplmwirvxw 49357.12 29215.63
okaqagspjy 49338.65 30434.99
vgbyzb 49320.50 29407.03
fbxawrnec 49317.78 31027.31
fgjfxn 49312.68 27301.72
tgoip 49307.67 28296.98
d 49302.35 29544.75
wxlc 49286.28 27571.87
cr 49278.55 28651.29
usbjib 49275.70 28181.11
dusovxb 49271.34 29198.16
wo 49218.01 28206.82
xm 49215.29 28913.88
xbuayx 49178.42 29414.09
hebjxtww 49169.60 27724.73
chninqtuwa 49145.36 29166.87
zqpu 49142.42 28871.94
toovujdlh 49125.67 28832.53
mlmwgngk 49111.21 30544.42
l 49089.02 28546.80
iiz 49060.19 29183.73
tukisb 48994.73 28473.11
qyss 48989.57 29155.96
ioy 48986.71 28983.75
mazbpl 48984.24 29242.58
xoqhiurcs 48982.98 28129.41
wtxejiitkb 48927.80 27940.03
vjugxve 48916.92 29313.87
ajhhlyjsi 48878.17 29051.90
podxh 48875.47 29635.17
u 48869.88 28402.80
iwmnsbdl 48867.19 27979.99
cadyoamzsw 48860.13 29030.46
hfm 48859.06 29084.25
vqjohqgoe 48849.38 28683.13
hzlc 48816.68 28428.33
cwmbxnpjhs 48806.45 28935.59
cdi 48803.38 28416.21
jvgfl 48792.85 28667.25
gypgzpjhud 48756.08 27819.95
umidvuvza 48657.00 28870.94
xvj 48650.25 29049.74
hjb 48643.37 28749.12
yplqpuaqjq 48631.37 29200.98
zevma 48600.84 28376.34
d 48594.45 28465.72
otwg 48593.83 29306.25
lgsfujb 48589.30 27255.85
czhhoay 48523.80 27968.56
fyxhy 48520.18 29013.80
hrl 48505.69 27495.66
zrpwjp 48491.09 29096.91
ykanbujwel 48483.61 29025.40
dvp 48446.94 28326.63
oxpqgzwxw 48440.95 28876.58
rshejpkky 48421.44 29783.73
qnhug 48421.04 28582.18
epogbnfm 48419.79 29111.39
xplvzrg 48411.39 27831.27
zrphax 48401.53 29582.22
zadqtxvjzd 48393.14 29090.85
ydurrqg 48381.37 28266.09
ycuien 48361.18 29270.13
tejifbq 48328.35 29040.63
poblpv 48268.25 28769.42
iysvolst 48265.46 29276.54
dgrv 48264.59 29796.16
j 48250.90 28410.15
ygow 48245.06 28790.59
uta 48243.62 29145.42
jazyfgkzvr 48240.21 29955.31
ekscajflic 48239.75 28186.66
pmcggjwfs 48237.88 28099.84
mqaxylvkts 48233.58 28818.31
cxasnq 48232.18 28594.22
gkkhkhija 48217.65 28726.91
dko 48216.94 28449.90
udvvxdoz 48205.36 28076.88
fd 48191.12 27323.61
bibtzin 48187.49 28122.57
cf 48168.55 28640.56
vuwpb 48164.06 28075.08
taqrccnux 48144.56 28189.68
xljqy 48134.05 29505.32
ik 48128.92 26582.06
neoqtlofk 48123.83 27719.73
qo 48112.76 28916.45
etpedt 48099.83 29575.02
yh 48068.82 30183.52
rktkeke 48060.36 29365.97
wrxfizaez 48013.06 29703.59
ydpmrlp 47891.65 30664.09
jgssgywf 47859.26 28989.64
zgnbubbzr 47845.46 29052.40
nztcuvbuo 47827.54 28404.06
erpa 47759.09 28880.66
cng 47755.33 27860.95
tojfhdxtna 47671.37 28984.48
orbotgte 47668.93 28869.34
enmiszaneq 47643.49 28149.63
tstaeibtep 47610.68 28515.59
pi 47594.63 28096.09
b 47586.06 28893.60
yiefpo 47577.70 28460.96
sxohjciv 47568.56 28535.47
bvqyukwar 47566.14 30249.94
gvucbjwm 47553.83 29657.13
ohmssocwrk 47526.65 27457.48
dmgr 47429.90 29615.86
rbdo 47377.18 28991.66
ypumhpdv 47367.30 27556.95
pq 47366.85 28354.63
pmnvemjbgy 47337.11 27882.92
pexgwwfzt 47260.28 29761.98
uipkfgrrzl 47259.53 29385.65
fg 47214.15 28999.26
ikkf 47195.16 29846.29
hxu 47142.02 31494.64
ip 47111.35 29621.12
qgskczrbe 47044.47 28661.18
knndj 47012.61 27708.48
pteko 47012.60 27913.21
c 46902.43 28848.89
oehghamex 46897.10 28614.26
clokwfmr 46850.34 27549.75
otxh 46838.82 28793.42
yziayex 46803.64 28096.58
wqozwouap 46718.58 28090.06
whs 46675.79 28157.73
rygoqak 46603.68 28706.81
znarjv 46538.25 26425.93
yzy 46512.80 29058.17
xu 46293.91 28345.55
nsz 46282.64 29399.96
fywn 46147.50 29586.48
tsjhlifmd 46063.78 29331.99
ijhkrtd 45985.81 27426.37
rvxkiosz 45927.11 27940.91
mdszr 45899.35 29185.24
hvlgdxkr 45664.65 28299.51
ubqaknf 45581.03 28507.90
nqdcnboxx 45351.51 30170.08
y 45230.94 27718.68
jgceswhsfr 45008.58 29783.53
hmvlphyzj 44751.39 27149.57
jaoljdmqu 43619.40 27368.48
fkds 43262.06 27226.42
qiw 43253.06 27736.15
pjrzpntml 33240.31 21691.27

DISTRICTS BY INCOME
niwcqukfyy $607,666.25 $244,852.83
dhzg $591,153.04 $269,897.24
nvrcpamagz $580,085.09 $300,482.60
dmgr $575,218.27 $264,663.32
jaoljdmqu $571,132.32 $318,764.66
hzlc $550,004.61 $273,318.20
epogbnfm $549,195.38 $284,095.94
zwtkykdqcs $547,067.36 $300,093.15
tojfhdxtna $542,605.46 $308,928.22
yh $542,386.25 $295,838.05
dsb $540,980.51 $277,949.21
dml $540,779.19 $283,484.14
zh $540,370.02 $284,549.37
wqozwouap $538,690.92 $278,789.89
umidvuvza $536,936.13 $281,175.38
c $534,982.40 $271,803.31
vetr $533,286.70 $259,798.55
ynwdj $532,964.99 $291,550.76
weooffgqtg $532,903.57 $283,589.48
heisbabwlr $532,374.36 $290,454.14
bycvok $531,721.20 $279,481.99
tdenwql $531,310.74 $315,764.76
nucirhxhud $531,210.77 $287,811.72
ydncwa $530,501.81 $277,500.62
tsjhlifmd $529,906.85 $295,989.23
uelawwxqwc $529,427.24 $281,076.40
bo $529,110.89 $289,267.17
nsz $529,003.47 $286,379.55
l $528,449.97 $257,460.36
h $528,366.81 $289,684.51
xkais $528,324.27 $300,039.17
u $528,023.70 $275,294.47
ul $526,736.44 $299,744.73
fywn $526,413.28 $291,421.31
ip $525,636.51 $292,867.62
z $525,546.74 $300,428.00
mucdcdxftk $525,370.60 $293,268.41
ik $524,978.40 $299,482.79
c $524,853.03 $291,852.20
uniaz $524,798.45 $296,928.25
xljqy $524,391.43 $282,975.04
mdszr $524,298.28 $283,195.65
ycuien $523,885.71 $286,349.15
z $523,869.94 $269,878.77
hqkdfbovac $523,861.06 $284,625.81
tukisb $523,709.94 $275,646.44
aawhgq $523,406.86 $276,246.48
hmvlphyzj $522,611.28 $288,766.72
wtxejiitkb $522,558.13 $286,478.88
mfg $522,495.38 $290,839.62
qiw $522,460.85 $303,579.65
snxgfmmtu $522,369.87 $291,534.28
okhauf $522,360.17 $284,086.89
dusovxb $522,316.98 $292,400.94
i $522,300.97 $268,983.40
cyiq $522,244.06 $289,845.37
md $522,225.22 $285,423.37
ymuswwyed $521,297.79 $293,936.62
fkds $521,034.26 $279,979.07
pq $520,993.63 $285,090.02
dsr $520,863.23 $286,303.10
q $520,454.31 $277,402.10
pwztu $520,383.22 $294,671.11
pvsj $519,789.35 $288,480.25
pvbgoxcl $519,577.73 $285,822.05
cf $519,414.08 $296,849.06
twdu $519,222.03 $261,193.91
v $518,812.50 $297,914.11
kccb $518,563.41 $287,582.28
zgnbubbzr $518,003.37 $291,409.56
sxohjciv $517,975.21 $304,322.81
xxwborgboh $517,835.66 $281,281.71
t $517,559.22 $297,161.03
taqrccnux $517,530.78 $274,081.58
qnhug $517,470.00 $281,248.78
y $517,469.12 $288,615.18
cymvwo $517,414.06 $280,759.27
l $517,356.52 $283,915.20
etdt $516,908.32 $278,956.18
ifj $516,873.08 $286,396.43
kkixajmrwu $516,532.61 $287,021.14
mazbpl $516,472.75 $285,141.50
kibfbjlonk $516,404.62 $293,345.60
c $516,388.14 $269,863.50
iwmnsbdl $516,334.79 $296,295.26
adjsjt $516,263.36 $288,797.75
xwmg $516,115.66 $290,353.99
e $515,523.92 $287,895.13
myp $515,288.42 $290,987.26
emtncix $515,069.65 $285,190.52
qo $514,622.79 $285,291.21
okaqagspjy $514,504.11 $284,667.23
cp $514,412.61 $278,116.21
zrjdx $514,395.30 $296,688.43
vqjohqgoe $514,210.00 $284,854.09
itdku $513,866.26 $298,656.13
dzsohghjht $513,485.16 $278,842.50
zrphax $513,226.69 $295,868.73
gras $513,177.70 $292,850.79
amuujobyxw $513,039.95 $292,805.08
oxpqgzwxw $512,877.15 $281,628.67
iluhli $512,777.22 $291,033.46
xm $512,571.25 $287,749.90
p $512,354.31 $277,969.03
ikkf $511,979.42 $298,661.99
vfy $511,697.87 $295,174.32
tstaeibtep $511,616.88 $291,038.22
giah $511,548.28 $294,356.45
fg $511,224.13 $286,735.10
fxfajszwiy $511,223.16 $293,222.90
zywhq $511,151.06 $295,826.93
xbuayx $510,953.94 $289,540.55
xoqhiurcs $510,844.51 $291,574.70
h $510,739.29 $293,244.56
hctmbez $510,583.61 $285,518.92
qyss $510,459.91 $288,923.36
j $510,429.27 $289,549.49
x $510,255.93 $256,309.51
ipbwcr $510,071.67 $290,515.99
cwmbxnpjhs $509,699.13 $272,082.23
znygweia $509,684.00 $295,846.53
hebjxtww $509,444.97 $281,936.00
cxasnq $509,278.50 $285,559.68
ale $509,234.73 $288,000.87
dko $509,218.04 $272,696.83
pc $509,168.35 $301,074.76
ds $509,037.19 $279,725.70
dflcprlgrn $508,735.19 $289,269.40
mkjq $508,439.17 $292,588.19
rshejpkky $508,367.61 $281,510.33
gkxcnyvvvy $508,333.41 $294,855.55
ygtoy $508,144.04 $290,336.79
zadqtxvjzd $508,019.95 $283,661.84
hjb $507,987.04 $291,957.99
bn $507,863.49 $293,818.18
udvvxdoz $507,764.81 $287,699.42
gkkhkhija $507,073.94 $288,985.94
yziayex $507,007.03 $277,287.35
c $506,862.14 $285,624.75
kyahcvdi $506,691.18 $290,193.90
weooyccve $506,673.22 $294,913.52
kbrgdfor $506,471.13 $288,504.92
wwy $506,271.92 $284,818.27
teeatexofv $506,073.24 $289,828.29
zntllv $505,896.76 $281,522.18
iiz $505,676.57 $279,588.49
xvj $505,632.65 $296,435.19
jgssgywf $505,528.56 $304,355.26
fjbjnfqe $505,438.79 $282,304.37
tgoip $505,275.59 $292,317.17
ajhhlyjsi $505,274.91 $281,010.28
vkalll $505,262.85 $278,999.44
fdpatxkqv $505,261.57 $277,901.35
l $505,003.78 $287,338.89
znuodsszm $504,914.93 $270,528.82
ygow $504,781.85 $273,181.12
qzzhxrl $504,781.80 $285,569.15
ostvyqjq $504,629.33 $285,901.89
bvbrtcpur $504,628.11 $294,418.53
gabc $504,372.16 $284,021.16
whs $504,351.25 $305,872.95
h $504,125.91 $282,280.21
dzghnymy $504,071.84 $291,418.33
podxh $503,925.28 $274,128.22
yxwvngrll $503,782.74 $282,820.52
dyc $503,713.92 $281,414.62
g $503,696.54 $286,761.26
lnjapbqr $503,445.47 $250,693.80
mwgkaz $503,208.22 $305,279.02
hvlgdxkr $503,182.73 $253,331.34
lgsfujb $503,146.21 $291,070.81
zbjbrw $503,067.69 $286,779.27
hpbesiozme $502,980.07 $283,489.01
lbnrnpletx $502,879.45 $284,015.30
xu $502,858.63 $284,540.97
fgjfxn $502,836.37 $289,008.95
cplmwirvxw $502,529.14 $289,414.82
rygoqak $502,398.25 $298,585.38
yplkmcglq $502,210.37 $253,397.84
ircmkdajy $502,156.77 $283,340.78
fuhitevdru $502,006.53 $297,391.58
j $501,881.65 $287,449.22
ysrcyj $501,877.48 $267,515.90
otwg $501,690.24 $280,387.16
zrpwjp $501,556.52 $276,552.94
bdawpkkz $501,518.18 $280,575.42
knndj $501,323.91 $283,003.64
le $501,287.40 $287,600.28
muu $501,181.36 $298,409.76
cxhnqwlyn $501,025.30 $294,318.18
usbjib $500,880.00 $290,338.43
fyxhy $500,848.70 $283,040.30
mlmwgngk $500,675.41 $267,218.69
squtc $500,626.78 $286,851.61
mqaxylvkts $500,597.59 $282,338.35
cr $500,449.20 $294,208.31
dgrv $500,370.84 $274,877.64
tuyyxuxlib $500,194.56 $296,350.06
enmiszaneq $499,989.91 $285,411.61
n $499,976.62 $291,454.43
yehs $499,750.57 $283,503.49
xtkx $499,532.44 $277,284.79
ddywrg $499,530.87 $279,615.43
qgskczrbe $499,473.61 $288,447.20
hwwjcte $499,429.55 $291,937.98
pqjycfaz $499,388.44 $291,536.90
hzaaagj $499,371.13 $287,445.27
derkhtoao $499,230.49 $272,953.92
rvxkiosz $499,148.31 $280,847.93
ihc $499,060.27 $289,193.46
iysvolst $498,880.68 $296,510.60
pivww $498,723.96 $295,757.25
jk $498,590.68 $296,715.83
iclisx $498,404.90 $280,804.57
xnm $498,219.27 $290,442.27
yxtcl $498,030.71 $282,163.36
yzy $497,867.39 $285,951.82
kioelsnz $497,518.40 $272,125.37
qe $497,512.05 $288,325.15
pmcggjwfs $497,360.50 $295,179.76
hxu $497,342.78 $311,555.23
ioyxzab $497,306.84 $289,852.07
orbotgte $497,164.70 $292,994.55
wan $496,972.78 $236,998.08
gyfzgh $496,925.61 $292,168.86
yau $496,412.98 $292,336.79
nqdcnboxx $496,121.22 $312,144.75
tejifbq $496,053.55 $283,359.95
negaklle $495,964.01 $289,842.40
krcpahq $495,790.49 $281,173.55
dvp $495,680.82 $290,547.12
zvzi $495,637.42 $295,330.11
mkqh $495,315.98 $291,388.26
xplvzrg $495,272.71 $295,324.57
aeaerud $495,052.28 $278,146.91
grpakg $495,050.48 $282,704.51
hgzjbyfl $494,819.36 $288,456.28
ajepnjoh $494,658.66 $300,487.17
uta $494,523.19 $285,809.71
jw $494,405.93 $279,992.85
hrl $494,384.40 $284,291.93
oehghamex $494,371.07 $284,675.03
chninqtuwa $494,178.12 $294,631.01
toovujdlh $494,156.77 $282,527.16
jvgfl $494,125.69 $288,596.09
rktkeke $494,122.86 $282,538.35
xaeoc $494,116.10 $291,579.32
ypumhpdv $493,922.04 $287,395.43
nwhvn $493,889.85 $291,293.48
qm $493,638.16 $285,698.16
nml $493,551.53 $283,894.35
d $493,436.46 $293,975.95
jazyfgkzvr $493,435.80 $300,264.88
prpdivjx $493,345.94 $287,824.23
l $493,200.22 $291,676.43
gg $493,055.87 $283,122.10
rbdo $493,010.84 $288,991.12
etpedt $492,987.27 $278,293.91
lmud $492,808.51 $294,758.06
g $492,644.17 $288,830.28
wxlc $492,582.01 $283,231.17
uipkfgrrzl $492,567.97 $283,550.20
okhrxynsj $492,445.29 $294,928.36
vdesyxn $492,177.20 $294,007.27
qxbgzunevt $491,789.96 $289,452.25
zevma $491,754.56 $297,896.24
ivjcghzlv $491,589.10 $286,618.63
nk $491,472.06 $276,352.58
uglp $491,380.06 $278,216.71
erpa $491,265.39 $290,655.82
xsasdw $491,174.66 $284,772.41
yplqpuaqjq $491,164.26 $280,152.65
cng $491,054.30 $289,768.03
vi $490,755.98 $295,481.90
wztpfbgv $490,389.41 $277,901.78
ittowwu $490,326.10 $287,756.95
pjcpybt $489,676.64 $290,819.74
rhntdtqodl $489,417.36 $293,194.84
wcflotkx $489,393.95 $288,039.59
vjugxve $489,337.92 $290,525.75
o $489,320.72 $281,485.03
ktq $488,915.51 $296,913.71
equbrqy $488,914.09 $291,621.21
a $488,787.56 $289,815.66
ydurrqg $488,688.69 $285,542.31
tttesssyd $488,571.24 $285,548.50
bvqyukwar $488,475.33 $288,568.02
tu $488,330.88 $293,741.86
ioy $488,064.43 $291,508.67
vkxlpkzyzi $488,030.51 $284,714.31
vuwpb $487,987.40 $296,649.02
cjjt $487,960.21 $287,233.42
djohyazf $487,944.60 $292,143.53
iovqkjh $487,933.90 $283,165.70
cadyoamzsw $487,927.97 $290,612.16
xeax $487,727.50 $286,745.27
kl $487,569.01 $288,166.51
b $487,427.36 $288,138.58
jjkuol $487,364.07 $275,391.25
uo $487,340.86 $273,627.45
clokwfmr $487,308.18 $285,734.32
ijhkrtd $487,176.20 $291,669.75
mntngqv $487,079.57 $286,670.06
wqybaetulv $487,042.80 $278,819.57
gypgzpjhud $486,540.98 $296,121.79
emeyetc $486,498.90 $288,927.09
kexmt $486,392.57 $263,364.48
ezniudypgh $486,249.24 $266,631.07
v $486,105.59 $319,205.51
egvchlmqjn $486,075.66 $305,228.72
awurxlch $485,993.60 $280,389.24
vxajn $485,953.22 $289,768.37
gfupxxfbyb $485,830.72 $289,677.99
nztcuvbuo $485,818.32 $289,498.30
vgbyzb $485,748.40 $282,341.78
pcnmkodowo $485,671.78 $292,810.17
gaqubecj $485,647.69 $284,317.11
ohwnz $485,465.37 $289,168.24
zqpu $485,445.91 $290,998.85
qzxqukxd $484,800.23 $289,639.19
gvucbjwm $484,777.00 $261,105.21
upiwx $484,728.13 $298,398.79
bgg $484,716.89 $278,178.27
luszjkvnw $484,687.98 $279,459.13
xugi $484,560.24 $286,991.03
ykanbujwel $484,542.00 $298,265.13
qakwyuf $484,503.35 $287,008.13
ghck $484,341.57 $286,704.29
pguckegyl $484,285.17 $285,107.60
atl $484,193.83 $288,266.60
wrxfizaez $484,105.82 $290,304.94
k $484,065.56 $294,694.90
yiefpo $483,982.10 $281,706.63
sjducmeo $483,981.23 $287,205.06
pteko $483,851.33 $285,861.61
rygc $483,507.56 $286,544.51
eevffne $483,460.08 $288,976.29
otxh $483,311.82 $279,591.97
hjj $483,283.80 $281,717.77
esvryjkpj $483,140.19 $284,728.89
ezrcacp $483,014.50 $289,024.82
elxmexknij $482,058.64 $288,542.29
ubqaknf $481,933.41 $286,321.07
eovvyfhrh $480,928.41 $294,884.63
d $480,606.11 $285,157.48
mjoossp $480,476.41 $294,657.39
ymtjbh $479,797.33 $293,087.52
wo $479,732.96 $294,457.54
w $479,513.81 $301,233.97
jy $479,310.83 $288,348.44
ydpmrlp $479,294.22 $296,390.85
pexgwwfzt $479,118.59 $282,233.97
xgveuvikez $479,035.62 $260,612.21
pi $478,498.00 $294,589.60
z $478,098.77 $281,391.07
ljlkvr $478,070.47 $293,653.81
cdi $477,951.73 $289,573.45
wilcf $477,945.51 $292,713.29
fd $477,814.07 $282,868.28
znarjv $477,670.70 $289,113.54
kg $477,621.42 $287,172.66
poblpv $476,206.68 $290,578.56
bibtzin $476,139.00 $295,698.71
ipiq $475,577.15 $279,430.43
wvcnwta $474,691.23 $289,433.77
beuewu $474,174.82 $289,649.49
czhhoay $473,859.98 $284,056.69
ttjqfgrcco $473,105.02 $289,227.65
crtiin $472,388.04 $279,578.12
pmnvemjbgy $472,078.93 $279,335.16
vjtgho $471,993.63 $290,689.85
arrbdd $471,565.42 $285,092.37
nmk $471,248.96 $284,747.89
dmonqufg $471,246.94 $286,441.58
ozinete $471,143.75 $298,417.01
ohmssocwrk $470,826.24 $292,720.08
i $469,548.96 $301,666.17
ptozz $469,317.63 $288,440.60
fbxawrnec $468,459.81 $293,882.91
taliac $467,495.03 $276,445.54
vwcpshc $465,921.06 $283,861.58
aim $465,055.85 $274,911.15
jfuniexb $464,144.83 $290,885.81
dhk $463,444.19 $286,381.50
sxjajqyi $462,428.95 $284,135.34
jo $462,020.22 $306,393.99
tgngnjini $460,970.34 $270,285.41
jgceswhsfr $458,267.81 $282,124.60
ehkhmbea $457,957.19 $287,641.56
qj $456,648.98 $279,412.68
ckpyuns $456,293.00 $279,921.60
hpo $455,450.44 $274,132.58
neoqtlofk $454,846.93 $293,508.13
zkvu $453,441.84 $270,545.87
hhht $450,704.30 $290,736.14
otwmzk $447,918.70 $281,052.08
knk $446,953.06 $308,345.76
ekscajflic $439,232.48 $272,940.48
q $427,534.49 $287,560.00
hfm $424,321.99 $294,834.53
clgxfn $422,030.56 $287,802.05
qdfxam $421,886.79 $277,125.33
vrtuhfxsq $419,288.19 $316,761.36
oukpetuzqu $399,761.21 $267,361.25
pjrzpntml $398,177.92 $222,174.33
